Listing files in s3://bos-ai-rtl-src-533335672315/rtl-sources/tt_20260221/...
Found 9465 RTL files
Batch 70: 3500/9465 triggered (success=3500, failed=0, rate=42.1/s, ETA=2.4min)
Batch 71: 3550/9465 triggered (success=3550, failed=0, rate=42.1/s, ETA=2.3min)
Batch 72: 3600/9465 triggered (success=3600, failed=0, rate=42.1/s, ETA=2.3min)
Batch 73: 3650/9465 triggered (success=3650, failed=0, rate=42.1/s, ETA=2.3min)
Batch 74: 3700/9465 triggered (success=3700, failed=0, rate=42.0/s, ETA=2.3min)
Batch 75: 3750/9465 triggered (success=3750, failed=0, rate=42.0/s, ETA=2.3min)
Batch 76: 3800/9465 triggered (success=3800, failed=0, rate=42.0/s, ETA=2.2min)
Batch 77: 3850/9465 triggered (success=3850, failed=0, rate=42.0/s, ETA=2.2min)
Batch 78: 3900/9465 triggered (success=3900, failed=0, rate=41.9/s, ETA=2.2min)
Batch 79: 3950/9465 triggered (success=3950, failed=0, rate=41.9/s, ETA=2.2min)
Batch 80: 4000/9465 triggered (success=4000, failed=0, rate=41.9/s, ETA=2.2min)
Batch 81: 4050/9465 triggered (success=4050, failed=0, rate=41.9/s, ETA=2.2min)
Batch 82: 4100/9465 triggered (success=4100, failed=0, rate=41.9/s, ETA=2.1min)
Batch 83: 4150/9465 triggered (success=4150, failed=0, rate=41.9/s, ETA=2.1min)
Batch 84: 4200/9465 triggered (success=4200, failed=0, rate=41.9/s, ETA=2.1min)
Batch 85: 4250/9465 triggered (success=4250, failed=0, rate=41.9/s, ETA=2.1min)
Batch 86: 4300/9465 triggered (success=4300, failed=0, rate=41.9/s, ETA=2.1min)
Batch 87: 4350/9465 triggered (success=4350, failed=0, rate=41.9/s, ETA=2.0min)
Batch 88: 4400/9465 triggered (success=4400, failed=0, rate=41.9/s, ETA=2.0min)
Batch 89: 4450/9465 triggered (success=4450, failed=0, rate=41.9/s, ETA=2.0min)
Batch 90: 4500/9465 triggered (success=4500, failed=0, rate=41.9/s, ETA=2.0min)
Batch 91: 4550/9465 triggered (success=4550, failed=0, rate=41.9/s, ETA=2.0min)
Batch 92: 4600/9465 triggered (success=4600, failed=0, rate=41.9/s, ETA=1.9min)
Batch 93: 4650/9465 triggered (success=4650, failed=0, rate=41.9/s, ETA=1.9min)
Batch 94: 4700/9465 triggered (success=4700, failed=0, rate=41.9/s, ETA=1.9min)
Batch 95: 4750/9465 triggered (success=4750, failed=0, rate=41.9/s, ETA=1.9min)
Batch 96: 4800/9465 triggered (success=4800, failed=0, rate=41.9/s, ETA=1.9min)
Batch 97: 4850/9465 triggered (success=4850, failed=0, rate=41.9/s, ETA=1.8min)
Batch 98: 4900/9465 triggered (success=4900, failed=0, rate=41.9/s, ETA=1.8min)
Batch 99: 4950/9465 triggered (success=4950, failed=0, rate=41.8/s, ETA=1.8min)
Batch 100: 5000/9465 triggered (success=5000, failed=0, rate=41.8/s, ETA=1.8min)
Batch 101: 5050/9465 triggered (success=5050, failed=0, rate=41.9/s, ETA=1.8min)
Batch 102: 5100/9465 triggered (success=5100, failed=0, rate=41.8/s, ETA=1.7min)
Batch 103: 5150/9465 triggered (success=5150, failed=0, rate=41.5/s, ETA=1.7min)
Batch 104: 5200/9465 triggered (success=5200, failed=0, rate=41.2/s, ETA=1.7min)
Batch 105: 5250/9465 triggered (success=5250, failed=0, rate=40.5/s, ETA=1.7min)
Batch 106: 5300/9465 triggered (success=5300, failed=0, rate=40.5/s, ETA=1.7min)
Batch 107: 5350/9465 triggered (success=5350, failed=0, rate=40.2/s, ETA=1.7min)
Batch 108: 5400/9465 triggered (success=5400, failed=0, rate=40.2/s, ETA=1.7min)
Batch 109: 5450/9465 triggered (success=5450, failed=0, rate=39.9/s, ETA=1.7min)
Batch 110: 5500/9465 triggered (success=5500, failed=0, rate=39.9/s, ETA=1.7min)
Batch 111: 5550/9465 triggered (success=5550, failed=0, rate=39.9/s, ETA=1.6min)
Batch 112: 5600/9465 triggered (success=5600, failed=0, rate=40.0/s, ETA=1.6min)
Batch 113: 5650/9465 triggered (success=5650, failed=0, rate=40.0/s, ETA=1.6min)
Batch 114: 5700/9465 triggered (success=5700, failed=0, rate=40.0/s, ETA=1.6min)
Batch 115: 5750/9465 triggered (success=5750, failed=0, rate=40.0/s, ETA=1.5min)
Batch 116: 5800/9465 triggered (success=5800, failed=0, rate=40.0/s, ETA=1.5min)
Batch 117: 5850/9465 triggered (success=5850, failed=0, rate=40.0/s, ETA=1.5min)
Batch 118: 5900/9465 triggered (success=5900, failed=0, rate=40.1/s, ETA=1.5min)
Batch 119: 5950/9465 triggered (success=5950, failed=0, rate=40.1/s, ETA=1.5min)
Batch 120: 6000/9465 triggered (success=6000, failed=0, rate=40.1/s, ETA=1.4min)
Batch 121: 6050/9465 triggered (success=6050, failed=0, rate=40.1/s, ETA=1.4min)
Batch 122: 6100/9465 triggered (success=6100, failed=0, rate=40.1/s, ETA=1.4min)
Batch 123: 6150/9465 triggered (success=6150, failed=0, rate=40.1/s, ETA=1.4min)
Batch 124: 6200/9465 triggered (success=6200, failed=0, rate=40.1/s, ETA=1.4min)
Batch 125: 6250/9465 triggered (success=6250, failed=0, rate=40.2/s, ETA=1.3min)
Batch 126: 6300/9465 triggered (success=6300, failed=0, rate=40.2/s, ETA=1.3min)
Batch 127: 6350/9465 triggered (success=6350, failed=0, rate=40.2/s, ETA=1.3min)
Batch 128: 6400/9465 triggered (success=6400, failed=0, rate=40.2/s, ETA=1.3min)
Batch 129: 6450/9465 triggered (success=6450, failed=0, rate=40.2/s, ETA=1.2min)
Batch 130: 6500/9465 triggered (success=6500, failed=0, rate=40.2/s, ETA=1.2min)
Batch 131: 6550/9465 triggered (success=6550, failed=0, rate=40.2/s, ETA=1.2min)
